"Year","Result"
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,1
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,3
2010,0
2011,2
2012,1
2013,4
2014,4
2015,1
2016,3
2017,1
2018,3
2019,5
2020,3
2021,8
2022,8
2023,4
2024,8
2025,10
2026,26
